cod_distrito,cod_concelho,cod_localidade,nome_localidade,cod_arteria,tipo_arteria,prep1,titulo_arteria,prep2,nome_arteria,local_arteria,troco,porta,cliente,num_cod_postal,ext_cod_postal,desig_postal
13,12,38332,Porto,10251213,Rua,das,,,Hortênsias,Bairro do Amial,,,,4250,234,PORTO
13,12,38332,Porto,1025260000,Esplanada,do,,,Molhe,,,,,4150,155,PORTO
13,12,38332,Porto,10261213,Rampa,da,,,Igreja,,,,,4150,399,PORTO
13,12,38332,Porto,10271213,Largo,,,,Igreja,,,,,4150,400,PORTO
13,12,38332,Porto,10281213,Rua,,,,Igreja da Areosa,,,,,4200,323,PORTO
13,12,38332,Porto,10291213,Rua,,,,Igreja de Campanhã,,Impares de 1 a 101,,,4300,262,PORTO
13,12,38332,Porto,10291213,Rua,,,,Igreja de Campanhã,,Impares de 285 a 329,,,4300,263,PORTO
13,12,38332,Porto,10291213,Rua,,,,Igreja de Campanhã,,Pares de 164 a 316A,,,4300,261,PORTO
13,12,38332,Porto,10291213,Rua,,,,Igreja de Campanhã,,Pares de 26 a 26,,,4300,260,PORTO
13,12,38332,Porto,10301213,Rua,,,,Igreja de Cedofeita,,,,,4050,306,PORTO
13,12,38332,Porto,10311213,Travessa,,,,Igreja de Nevogilde,,Impares de 33 a 167,,,4150,402,PORTO
13,12,38332,Porto,10311213,Travessa,,,,Igreja de Nevogilde,,Pares de 6 a 252,,,4150,401,PORTO
13,12,38332,Porto,1031213,Travessa,,,,Alto da Arrábida,,,,,4150,056,PORTO
13,12,38332,Porto,10321213,Largo,,,,Igreja de Paranhos,,,,,4200,325,PORTO
13,12,38332,Porto,10331213,Rua,,,,Igreja de Paranhos,,Igreja,,,4200,328,PORTO
13,12,38332,Porto,10331213,Rua,,,,Igreja de Paranhos,,Impares de 179 a 579,,,4200,330,PORTO
13,12,38332,Porto,10331213,Rua,,,,Igreja de Paranhos,,Impares de 9 a 171,,,4200,329,PORTO
13,12,38332,Porto,10331213,Rua,,,,Igreja de Paranhos,,Pares de 12 a 162,,,4200,326,PORTO
13,12,38332,Porto,10331213,Rua,,,,Igreja de Paranhos,,Pares de 164 a 210,,,4200,327,PORTO
13,12,38332,Porto,10331213,Rua,,,,Igreja de Paranhos,,Pares de 442 a 562,,,4200,328,PORTO
13,12,38332,Porto,10341213,Rua,,,,Igreja de Ramalde,,,,CASA DE RAMALDE,4149,011,PORTO
13,12,38332,Porto,10341213,Rua,,,,Igreja de Ramalde,,Igreja de Ramalde,,,4100,280,PORTO
13,12,38332,Porto,10341213,Rua,,,,Igreja de Ramalde,,Impares de 1 a 103,,,4100,281,PORTO
13,12,38332,Porto,10341213,Rua,,,,Igreja de Ramalde,,Pares de 76 a 170,,,4100,280,PORTO
13,12,38332,Porto,10361213,Praça,,,,Ilha Brava,Bairro da Azenha,,,,4200,331,PORTO
13,12,38332,Porto,10371213,Viela,,,,Ilha do Ferro,,,,,4050,307,PORTO
13,12,38332,Porto,10381213,Rua,,,,Ilha Terceira,Bairro da Azenha,,,,4200,332,PORTO
13,12,38332,Porto,10391213,Rua,,,,Ilha Verde,Bairro da Azenha,,,,4200,333,PORTO
13,12,38332,Porto,10411213,Travessa,do,,,Ilhéu,,,,,4300,265,PORTO
13,12,38332,Porto,1041213,Rua,,,,Alto da Bela,,Impares de 21 a 327,,,4300,024,PORTO
13,12,38332,Porto,1041213,Rua,,,,Alto da Bela,,Pares de 4 a 324,,,4300,023,PORTO
13,12,38332,Porto,10421213,Praça,,,,Império,,Portas de 232 a 380,,,4150,758,PORTO
13,12,38332,Porto,10421213,Praça,,,,Império,,Portas de 44 a 140,,,4150,403,PORTO
13,12,38332,Porto,10431213,Rua,,,,Inácio Alberto de Sousa,,,,,4350,197,PORTO
13,12,38332,Porto,1044100,,,,,Túnel das Antas I,,,,,4350,001,PORTO
13,12,38332,Porto,10441213,Rua,da,,,Índia,Foz do Douro,,,,4150,404,PORTO
13,12,38332,Porto,10451213,Rua,,Infanta Dona,,Maria,,,,,4050,350,PORTO
13,12,38332,Porto,1046100,,,,,Túnel das Antas II,,,,,4350,002,PORTO
13,12,38332,Porto,10461213,Praça,,Infante Dom,,Henrique,,,,,4050,295,PORTO
13,12,38332,Porto,10471213,Rua,,Infante Dom,,Henrique,,Igreja Católica,,,4050,298,PORTO
13,12,38332,Porto,10471213,Rua,,Infante Dom,,Henrique,,Impares de 1 a 91C,,,4050,297,PORTO
13,12,38332,Porto,10471213,Rua,,Infante Dom,,Henrique,,Impares de 93 a 133,,,4050,298,PORTO
13,12,38332,Porto,10471213,Rua,,Infante Dom,,Henrique,,Pares de 2 a 50,,,4050,296,PORTO
13,12,38332,Porto,10481213,Rua,,Infante,,Santo,,Impares de 33 a 85,,,4150,406,PORTO
13,12,38332,Porto,10501213,Calçada,,,,Ingleses,,,,,4150,407,PORTO
13,12,38332,Porto,1051213,Rua,do,,,Alto da Fontinha,,,,,4000,070,PORTO
13,12,38332,Porto,10521213,Rua,,,,Instituto de Cegos S Manuel,,,,,4050,308,PORTO
13,12,38332,Porto,10551213,Praceta,,,,Jaime Cortesão,Bairro de Ramalde do Meio,,,,4250,235,PORTO
13,12,38332,Porto,1056100,Largo,do,,,Redondelo,,,,,4050,242,PORTO
13,12,38332,Porto,10561213,Pátio,das,,,Japoneiras,,,,,4150,410,PORTO
13,12,38332,Porto,10571213,Rua,,,,Jasmins,Bairro do Amial,,,,4250,236,PORTO
13,12,38332,Porto,10581213,Rua,,,,Jerónimo Mendonça,,,,,4200,335,PORTO
13,12,38332,Porto,10591213,Praceta,,,,João Augusto Ribeiro,,,,,4100,286,PORTO
13,12,38332,Porto,10601213,Rua,,,,João Baptista Lavanha,,Impares de 33 a 143,,,4150,412,PORTO
13,12,38332,Porto,10601213,Rua,,,,João Baptista Lavanha,,Pares de 22 a 134,,,4150,411,PORTO
13,12,38332,Porto,10611213,Rua,,,,João de Barros,,Associação Desportiva e Recreativa da Pasteleira,,,4150,415,PORTO
