Associação de Moradores de São Vítor,
Associação Empresarial de Portugal,
Assunção,F
Atafona,
Ateneu Comercial do Porto,
Augusto Gil,M
Augusto Gomes,M
Augusto Lessa,M
Augusto Luso,M
Augusto Nobre,M
Augusto Rosa,M
Aurélia de Sousa,F
Aurélio da Paz dos Reis,M
Aurora,F
Aval de Baixo,
Aval de Cima,
Ave,
Avelar Brotero,
Avelino Ribeiro,M
Avis,
A Voz dos Ridículos,
Avranches,
Azálias,
Azamor,
Azenha,
Azevedo,
Azevedo Coutinho,
Azevedo de Albuquerque,
Azinhaga do Monte,
Azinheiras,
Baça,
Baçal,
Bacelo,
Baião,
Bainharia,
Bairro da Areosa,
Bairro do Bom Retiro,
Bairro do Comércio do Porto,
Bairro do Leal,
Baixo,
Baixo de Pereiró,
Baixo do Souto,
Baleia,
Balsamina,
Baltasar Guedes,M
Baltazar Falcão,M
Banda de Ramalde,
Bandeirinha,
Banhos,
Barata Feyo,
Barbosa de Castro,
Barbosa Du Bocage,
Barredo,
Barrocas,
Barros,
Barros Lima,
Bartolomeu,M
Bartolomeu Dias,M
Bartolomeu Velho,M
Basílio Teles,
Batalha,
Bataria,
Bataria da Vitória,
Begónias,
Beija-Flor,
Bela,F
Bela da Fontinha,F
Bela Vista,F
Belém,
Belomonte,
Belos Ares,
Bem-Me-Queres,
Beneditina,
Benfica,
Benjamim Gouveia,M
Bento,M
Bento Carqueja,M
Bento da Vitória,M
Bento de Jesus Caraça,M
Bento Júnior,M
Berlengas,
Bernarda Ferreira Lacerda,
Bernardim Ribeiro,M
Bernardino Machado,
Bernardo,M
Berta Alves de Sousa,F
Bessa,
Bicalho,
Bica Velha,
Bitarães,
Boa Hora,
Boa Morte,
Boa Nova,
Boa Viagem,
Boavista,
Bóbeda,
Bolama,
Bolhão,
Bolsa,
Bom Jesus,
Bom Retiro,
Bom Sucesso,
Bonfim,
Bonfim Barreiros,
Bonjardim,
Bonjóia,
Bordeaux,
Bouça,
Bouças,
Bouças Ribas,
Bragas,
Brás,
Brás Cubas,
Brasil,
Breiner,
Brito Capelo,
Buçaco,
Bulhão Pato,
Buraco,
Burgães,
Burgal de Baixo,
Burgal de Cima,
Burnay,
Cabinda,
Cadouços,
Calçada,
Caldas Xavier,
Caldeireiros,
Calouste Gulbenkian,
Calvário,
Camarão,
Câmara Pestana,
Câmara Sinval,
Camélias,
Camilo,M
Camilo Pessanha,M
Caminho Novo,
Camões,
Campanhã,
Campeões Europeus Viena 87,
Campinas,
Campinho,
Campo,
Campo 24 de Agosto,
Campo Alegre,
Campo Bello,
Campo de Paiva,
Campo do Rou,
